Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Flavor (product.metafields.shopify.flavor),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
risk-comete-assaf-150ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/0fdeb868-e62a-4109-915a-fe0d43d83eaa.png,3,Risk Comete ASSAF 150ML,,,,,,,,,
addict-blue-assaf-125ml,Addict Blue Assaf 125ML,"<p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/gHVp3qk5V66xAKdGgIMW8dmlf3OgyS3fjdweRHQU.jpg"" style=""width: 394px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/gHVp3qk5V66xAKdGgIMW8dmlf3OgyS3fjdweRHQU.jpg""></p><p><br></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/dALJuDFg9QmoHx14Z9qZesxo1FMY6dE1dnw27EbB.jpg"" style=""width: 396px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/dALJuDFg9QmoHx14Z9qZesxo1FMY6dE1dnw27EbB.jpg""></p>",perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,10800.00,12800.00,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/594b5474-97e9-444c-b0df-54c91076616a.webp,1,Addict Blue Assaf 125ML,false,Addict Blue Assaf 125ML,Addict Blue Assaf 125ML,,https://assets.lightfunnels.com/account-69729/images_library/594b5474-97e9-444c-b0df-54c91076616a.webp,kg,,,active
addict-blue-assaf-125ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/c5cb002a-8645-4747-b17b-f6d84eacd043.webp,2,Addict Blue Assaf 125ML,,,,,,,,,
frankel-black-elixir-200ml,Frankel Black Elixir 200ML,<p>اطلب عطر فرانكل أفينتوس بثقة واستمتع بتجربة عطرية مميزة تجمع بين الأناقة والفخامة.</p><p>عطر فرانكل الحصري الجديد</p><p>النفحات العليا:</p><ul><li>الفلفل الوردي</li><li>الفلفل الأسود</li></ul><p>نفحات القلب:</p><ul><li>الورد</li></ul><p>النفحات القاعدية:</p><ul><li>بلسم التنوب</li><li>خشب الأرز الأطلسي</li><li>اللابدانوم (القِسطوس).**</li></ul>,perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,10500.00,12500.00,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/982c86a6-3200-46e6-9f29-8b01236b3fa8.webp,1,Frankel Black Elixir 200ML,false,Frankel Black Elixir 200ML,Frankel Black Elixir 200ML,,https://assets.lightfunnels.com/account-69729/images_library/982c86a6-3200-46e6-9f29-8b01236b3fa8.webp,kg,,,active
arrogate-pink-by-assaf-200ml,Arrogate Pink by Assaf 200ML,"<p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/QseTBeexqfPOPifUwpzPdpUeBULCdtbNcDrlEPz9.jpg"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/QseTBeexqfPOPifUwpzPdpUeBULCdtbNcDrlEPz9.jpg""></p><p><br></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/AAR0eofiZdwJxKacypBDr3BGRPOuhs7tPwMateWD.jpg"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/AAR0eofiZdwJxKacypBDr3BGRPOuhs7tPwMateWD.jpg""></p><p><br></p><p>Arrogate Pink&nbsp;Assaf&nbsp;عطر زهري - فواكه للجنسين. هذا عطر جديد&nbsp;Arrogate Pink&nbsp;صدر عام 2025. Guillaume Flavigny قام بتوقيع هذا العطر. إفتتاحية العطر زهر البرتقال, النيرولي و اللوز; قلب العطر البنفسج, الياسمين و المشمش; قاعدة العطر تتكون من المسك, الياسمين و خشب الصندل.</p><p><br></p>",perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,10800.00,12800.00,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/2c375398-4ae1-452d-8e5b-c24cd99df93f.webp,1,Arrogate Pink by Assaf 200ML,false,Arrogate Pink by Assaf 200ML,Arrogate Pink by Assaf 200ML,,https://assets.lightfunnels.com/account-69729/images_library/2c375398-4ae1-452d-8e5b-c24cd99df93f.webp,kg,,,active
arrogate-pink-by-assaf-200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/109551fe-aa04-4cd9-898f-f236a3aa4e98.webp,2,Arrogate Pink by Assaf 200ML,,,,,,,,,
arrogate-pink-by-assaf-200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/2882ab76-e375-408d-992e-ff28e08056f4.webp,3,Arrogate Pink by Assaf 200ML,,,,,,,,,
arrogate-pink-by-assaf-200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/7508ec01-ce10-4da4-976b-4a2c5e1b262e.webp,4,Arrogate Pink by Assaf 200ML,,,,,,,,,
هيرش-2-بديل-lv-imagination,هيرش 2 بديل LV Imagination,<p>هيرش 2 بديل LV Imagination</p>,perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,11500.00,13500.00,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/46c9c464-36f4-4861-b24a-f27817ea1a44.O6p0oMbfEN1338JzETN6D.webp,1,هيرش 2 بديل LV Imagination,false,هيرش 2 بديل LV Imagination,هيرش 2 بديل LV Imagination,,https://assets.lightfunnels.com/account-69729/images_library/46c9c464-36f4-4861-b24a-f27817ea1a44.O6p0oMbfEN1338JzETN6D.webp,kg,,,active
هيرش-2-بديل-lv-imagination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/a7b340d2-c1e7-4643-ac95-344adfee9a3f.png,2,هيرش 2 بديل LV Imagination,,,,,,,,,
freeze-riiffs,Freeze riiffs,"<p><img data-name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/m8EpAbpqzTDtJ5VMmWe6jnIkd6uhdMFaHqHU6MqW.png"" class=""fr-fic fr-dib"" style=""width: 300px;"" src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/m8EpAbpqzTDtJ5VMmWe6jnIkd6uhdMFaHqHU6MqW.png""></p><p><br></p><p><img data-name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/7rPQz3x73cVVWUrkquVG2YyaJYMfa1fz4RbCG6KJ.png"" class=""fr-fic fr-dib"" style=""width: 300px;"" src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/7rPQz3x73cVVWUrkquVG2YyaJYMfa1fz4RbCG6KJ.png""></p>",perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,9500.00,,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/611a8090-4693-49b0-a794-2f14912a1d04.jpg,1,Freeze riiffs,false,Freeze riiffs,Freeze riiffs,,https://assets.lightfunnels.com/account-69729/images_library/611a8090-4693-49b0-a794-2f14912a1d04.jpg,kg,,,active
freeze-riiffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/80978eea-8237-4714-8ca8-0cf598a6a334.jpg,2,Freeze riiffs,,,,,,,,,
freeze-riiffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/01f4955f-0265-4239-af7c-0b1a82950802.jpg,3,Freeze riiffs,,,,,,,,,
